Time,Molecular Area,Pressure 
52.801,110.555106,-0.004607
61.5,107.97402,0.023033
72.401,104.815079,0.087527
82.1,101.983589,0.239548
92.101,98.998005,0.585051
102.304,95.993159,1.151675
110,93.623953,1.727513
116.402,91.678508,2.197396
123.903,89.50192,2.427731
131.405,87.344595,2.681099
139.006,85.168008,2.962108
149.81,82.009067,3.441205
156.501,80.005836,3.805134
162.2,78.426366,4.11839
171.912,75.460043,4.749508
176.3,74.208024,5.03973
186.501,71.260963,5.859722
194.801,68.756925,6.615221
202.504,66.484028,7.41218
210.801,64.037775,8.430261
216.2,62.439043,9.135086
217.901,61.938235,9.379241
222.3,60.570645,10.037999
