Time,Molecular Area,Pressure 
52.801,110.555106,-0.004607
52.901,110.555106,-0.004607
53.1,110.49732,-0.009213
53.2,110.49732,-0.009213
53.3,110.439535,-0.004607
53.4,110.439535,-0.004607
53.5,110.439535,-0.004607
53.702,110.343225,0
53.901,110.28544,0
54.1,110.227654,0
54.2,110.189131,-0.004607
54.3,110.150607,0
54.401,110.150607,0
54.601,110.054298,0
54.8,110.035036,0
54.9,109.938727,0.004607
55.001,109.938727,0.004607
55.2,109.861679,0
55.3,109.861679,0
55.401,109.842418,0.004607
55.6,109.746108,0.009213
55.7,109.726847,0
55.8,109.688323,0
55.901,109.688323,0
56.101,109.572752,0
56.301,109.534228,0.004607
56.5,109.514966,0.004607
56.7,109.418657,0.004607
56.8,109.418657,0.004607
56.9,109.360872,0.009213
57.002,109.34161,0.004607
57.2,109.303086,0.009213
57.3,109.245301,0.009213
57.401,109.245301,0.009213
57.601,109.148992,0.004607
57.8,109.110468,0.004607
57.9,109.091206,0.004607
58,109.091206,0.004607
58.2,108.994897,0.009213
58.3,108.994897,0.009213
58.4,108.956373,0.009213
58.5,108.898588,0.009213
58.7,108.840802,0.009213
58.8,108.802279,0.018427
58.9,108.802279,0.018427
59,108.744493,0.009213
59.2,108.725231,0.009213
59.3,108.628922,0.009213
59.4,108.60966,0.01382
59.5,108.60966,0.01382
59.7,108.494089,0.01382
59.8,108.494089,0.01382
59.9,108.513351,0.01382
60,108.436304,0.023033
60.2,108.417042,0.01382
60.3,108.320733,0.018427
60.4,108.320733,0.018427
60.5,108.282209,0.018427
60.7,108.243685,0.018427
60.8,108.1859,0.023033
60.9,108.1859,0.02764
61,108.1859,0.02764
61.2,108.089591,0.023033
61.3,108.089591,0.023033
61.4,108.012543,0.023033
61.5,107.97402,0.023033
61.7,107.954758,0.023033
61.8,107.858449,0.018427
61.9,107.858449,0.018427
62,107.839187,0.032247
62.2,107.781401,0.023033
62.3,107.76214,0.023033
62.4,107.742878,0.02764
62.5,107.742878,0.02764
62.7,107.66583,0.02764
62.8,107.66583,0.02764
62.9,107.569521,0.032247
63,107.569521,0.032247
63.101,107.569521,0.032247
63.324,107.473212,0.02764
63.507,107.396165,0.036854
63.7,107.376903,0.02764
63.8,107.299855,0.032247
63.9,107.261332,0.02764
64,107.261332,0.02764
64.2,107.165023,0.032247
64.3,107.165023,0.032247
64.4,107.184284,0.032247
64.5,107.03019,0.032247
64.7,107.049452,0.032247
64.8,106.953142,0.036854
64.9,106.953142,0.036854
65,106.953142,0.036854
65.2,106.895357,0.04146
65.3,106.856833,0.036854
65.4,106.837571,0.036854
65.5,106.837571,0.036854
65.7,106.741262,0.04146
65.8,106.741262,0.04146
65.9,106.644953,0.04146
66,106.644953,0.04146
66.2,106.567906,0.046067
66.3,106.548644,0.046067
66.4,106.548644,0.046067
66.5,106.51012,0.04146
66.602,106.433073,0.050674
66.8,106.433073,0.046067
66.9,106.394549,0.050674
67.001,106.394549,0.050674
67.201,106.259716,0.050674
67.401,106.221193,0.050674
67.601,106.259716,0.050674
67.8,106.144145,0.050674
67.9,106.144145,0.050674
68,106.028574,0.050674
68.2,106.047836,0.05528
68.3,105.970789,0.059887
68.401,105.951527,0.059887
68.6,105.855218,0.059887
68.7,105.816694,0.059887
68.8,105.816694,0.059887
68.9,105.816694,0.064494
69,105.758909,0.064494
69.2,105.720385,0.064494
69.3,105.6626,0.064494
69.4,105.6626,0.064494
69.5,105.604814,0.064494
69.7,105.604814,0.064494
69.8,105.527767,0.0691
69.9,105.527767,0.0691
70,105.527767,0.0691
70.2,105.431458,0.0691
70.301,105.431458,0.0691
70.5,105.335148,0.073707
70.703,105.296625,0.073707
70.9,105.238839,0.073707
71,105.219577,0.073707
71.201,105.181054,0.078314
71.4,105.104006,0.078314
71.5,105.104006,0.078314
71.7,105.007697,0.078314
71.8,105.007697,0.078314
71.9,104.969173,0.082921
72,104.892126,0.082921
72.101,104.892126,0.082921
72.3,104.815079,0.087527
72.401,104.815079,0.087527
72.6,104.738031,0.092134
72.7,104.738031,0.092134
72.8,104.680246,0.087527
72.9,104.699508,0.092134
73.002,104.699508,0.092134
73.2,104.603199,0.087527
73.301,104.603199,0.087527
73.501,104.506889,0.096741
73.7,104.468366,0.096741
73.8,104.468366,0.105954
73.9,104.468366,0.105954
74.001,104.391318,0.105954
74.101,104.352795,0.110561
74.201,104.352795,0.110561
74.401,104.256486,0.110561
74.6,104.217962,0.115168
74.7,104.160176,0.110561
74.801,104.160176,0.110561
75.001,104.063867,0.115168
75.2,104.006082,0.115168
75.3,103.98682,0.115168
75.401,103.98682,0.115168
75.6,103.890511,0.119774
75.7,103.890511,0.119774
75.801,103.851987,0.119774
75.901,103.832725,0.119774
76.1,103.755678,0.124381
76.202,103.736416,0.124381
76.4,103.678631,0.124381
76.501,103.659369,0.128988
76.7,103.640107,0.133594
76.8,103.582321,0.138201
76.9,103.582321,0.138201
77,103.524536,0.142808
77.201,103.505274,0.142808
77.401,103.351179,0.152021
77.6,103.331918,0.147414
77.7,103.274132,0.156628
77.803,103.274132,0.156628
78,103.197085,0.161235
78.101,103.197085,0.161235
78.301,103.120037,0.165841
78.5,103.062252,0.165841
78.701,103.023728,0.165841
78.901,102.927419,0.175055
79.101,102.908157,0.175055
79.301,102.850372,0.179661
79.501,102.754063,0.184268
79.7,102.734801,0.193481
79.802,102.657753,0.188875
80,102.61923,0.202695
80.201,102.580706,0.202695
80.402,102.484397,0.211908
80.6,102.426611,0.207301
80.701,102.388088,0.207301
80.9,102.31104,0.216515
81,102.272517,0.211908
81.101,102.272517,0.211908
81.301,102.233993,0.221122
81.5,102.156946,0.221122
81.601,102.09916,0.225728
81.701,102.09916,0.225728
81.901,102.002851,0.230335
82.1,101.983589,0.239548
82.202,101.983589,0.244155
82.4,101.88728,0.244155
82.501,101.88728,0.248762
82.7,101.848756,0.253368
82.802,101.790971,0.257975
83,101.752447,0.262582
83.201,101.6754,0.262582
83.4,101.579091,0.271795
83.501,101.579091,0.271795
83.7,101.521305,0.281009
83.8,101.521305,0.281009
83.9,101.482781,0.285615
84,101.46352,0.290222
84.2,101.36721,0.290222
84.301,101.328687,0.299436
84.501,101.270901,0.299436
84.701,101.251639,0.299436
84.9,101.15533,0.313256
85.001,101.15533,0.313256
85.201,101.059021,0.317862
85.301,101.059021,0.317862
85.5,100.962712,0.327076
85.601,100.962712,0.327076
85.802,100.866403,0.336289
86.025,100.847141,0.340896
86.21,100.808617,0.350109
86.4,100.73157,0.363929
86.5,100.73157,0.363929
86.701,100.635261,0.368536
86.901,100.577475,0.373143
87.1,100.51969,0.377749
87.2,100.500428,0.377749
87.3,100.442642,0.386963
87.4,100.442642,0.386963
87.5,100.442642,0.396176
87.602,100.346333,0.400783
87.8,100.327071,0.40539
87.902,100.250024,0.409996
88.002,100.250024,0.409996
88.202,100.153715,0.41921
88.401,100.134453,0.423816
88.6,100.095929,0.43303
88.7,100.038144,0.44685
88.8,99.99962,0.44685
88.901,99.99962,0.44685
89.102,99.903311,0.451457
89.3,99.864787,0.46067
89.4,99.826264,0.469883
89.501,99.826264,0.469883
89.7,99.710693,0.479097
89.801,99.710693,0.479097
90.001,99.595122,0.48831
90.2,99.595122,0.50213
90.3,99.537336,0.506737
90.401,99.537336,0.506737
90.601,99.421765,0.51595
90.8,99.402503,0.51595
90.9,99.344718,0.529771
91,99.344718,0.529771
91.2,99.248409,0.538984
91.301,99.248409,0.538984
91.501,99.190623,0.552804
91.7,99.113576,0.557411
91.8,99.075052,0.575838
91.901,99.075052,0.575838
92.101,98.998005,0.585051
92.201,98.998005,0.585051
92.301,98.978743,0.589658
92.401,98.901696,0.598871
92.6,98.901696,0.612691
92.7,98.84391,0.608084
92.801,98.84391,0.608084
93.001,98.747601,0.626511
93.201,98.709077,0.631118
93.301,98.612768,0.644938
93.5,98.593506,0.649545
93.601,98.554983,0.658758
93.701,98.554983,0.658758
93.801,98.497197,0.658758
93.901,98.477935,0.672578
94.1,98.381626,0.677185
94.201,98.362364,0.686398
94.301,98.362364,0.686398
94.502,98.266055,0.700218
94.701,98.20827,0.709432
94.801,98.189008,0.714039
94.901,98.189008,0.714039
95.1,98.092699,0.732465
95.201,98.092699,0.732465
95.403,98.034913,0.755499
95.6,97.977128,0.760105
95.7,97.957866,0.769319
95.801,97.957866,0.769319
96.002,97.842295,0.783139
96.2,97.765247,0.792352
96.301,97.745986,0.796959
96.5,97.668938,0.806172
96.701,97.649676,0.819993
96.902,97.572629,0.838419
97.1,97.553367,0.838419
97.2,97.47632,0.847633
97.301,97.47632,0.847633
97.501,97.418534,0.856846
97.601,97.418534,0.856846
97.801,97.360749,0.87988
98,97.26444,0.87988
98.101,97.225916,0.889093
98.201,97.225916,0.889093
98.401,97.129607,0.90752
98.602,97.071821,0.916733
98.801,97.033298,0.925947
99.001,96.936988,0.944373
99.2,96.917727,0.94898
99.301,96.859941,0.967407
99.5,96.821417,0.972014
99.701,96.763632,0.97662
99.901,96.686585,0.999654
100.1,96.628799,1.008867
100.202,96.590275,1.022687
100.4,96.53249,1.031901
100.503,96.493966,1.041114
100.701,96.493966,1.050328
100.801,96.416919,1.050328
101,96.416919,1.068754
101.101,96.32061,1.068754
101.201,96.32061,1.068754
101.301,96.301348,1.087181
101.402,96.224301,1.087181
101.601,96.205039,1.110215
101.701,96.166515,1.110215
101.9,96.10873,1.119428
102.003,96.089468,1.133248
102.103,96.089468,1.133248
102.304,95.993159,1.151675
102.5,95.896849,1.165495
102.601,95.877588,1.174708
102.8,95.80054,1.188529
102.902,95.80054,1.202349
103.101,95.742755,1.211562
103.202,95.704231,1.216169
103.4,95.627184,1.216169
103.502,95.569398,1.234596
103.7,95.511613,1.243809
103.802,95.492351,1.257629
104.001,95.415304,1.262236
104.102,95.396042,1.280663
104.3,95.338256,1.285269
104.402,95.299733,1.299089
104.502,95.299733,1.299089
104.702,95.203423,1.322123
104.9,95.184162,1.331336
105,95.107114,1.345156
105.101,95.107114,1.345156
105.3,95.068591,1.36819
105.4,95.068591,1.36819
105.5,94.991543,1.386617
105.601,94.933758,1.39583
105.8,94.875972,1.400437
105.903,94.895234,1.414257
106.1,94.818187,1.414257
106.204,94.779663,1.428077
106.4,94.702616,1.45111
106.501,94.664092,1.460324
106.602,94.664092,1.460324
106.801,94.567783,1.483357
106.901,94.567783,1.483357
107.101,94.471474,1.506391
107.3,94.452212,1.520211
107.401,94.394426,1.529424
107.502,94.394426,1.529424
107.701,94.278855,1.543244
107.801,94.278855,1.543244
108.002,94.22107,1.570885
108.202,94.163284,1.580098
108.401,94.144022,1.593918
108.604,94.047713,1.616952
108.8,94.028451,1.635379
