Voltage,Current
0,0
0.004888,0
0.009775,0
0.014663,0
0.01955,0
0.024438,0
0.024438,0
0.034213,0
0.034213,0.000049
0.043988,0
0.048876,0
0.053763,0
0.058651,0
0.063539,0
0.068426,0
0.073314,0
0.073314,0
0.083089,0
0.087977,0
0.087976,0.000049
0.087977,0.000098
0.097752,0.000098
0.097752,0.000098
0.107526,0.000049
0.112414,0.000049
0.117302,0.000049
0.122189,0.000049
0.131965,0
0.136852,0
0.136852,0
0.146628,0
0.151515,0
0.146628,0.000098
0.146628,0.000098
0.146628,0.000196
0.156402,0.000147
0.16129,0.000147
0.166178,0.000147
0.175953,0.000098
0.180841,0.000098
0.185728,0.000098
0.185728,0.000147
0.195504,0.000098
0.200391,0.000098
0.205279,0.000098
0.210166,0.000098
0.210166,0.000147
0.210167,0.000196
0.210166,0.000244
0.219942,0.000196
0.219941,0.000244
0.224829,0.000244
0.239491,0.000147
0.244379,0.000147
0.24438,0.000196
0.249267,0.000196
0.259042,0.000147
0.263929,0.000147
0.268817,0.000147
0.278593,0.000098
0.273705,0.000196
0.273705,0.000244
0.273704,0.000293
0.28348,0.000244
0.283479,0.000293
0.288367,0.000293
0.298143,0.000244
0.30303,0.000244
0.30303,0.000293
0.312805,0.000244
0.322581,0.000196
0.327469,0.000196
0.327468,0.000244
0.337244,0.000196
0.332355,0.000293
0.332356,0.000342
0.337243,0.000391
0.342131,0.000342
0.342131,0.000391
0.347018,0.000391
0.356794,0.000342
0.361681,0.000342
0.361681,0.000391
0.366569,0.000391
0.376344,0.000342
0.376344,0.000391
0.381231,0.000391
0.386119,0.000391
0.391007,0.000391
0.386119,0.000489
0.38612,0.000538
0.391007,0.000538
0.395895,0.000538
0.395894,0.000587
0.40567,0.000538
0.40567,0.000587
0.410557,0.000587
0.410557,0.000635
0.415444,0.000635
0.415444,0.000635
0.420333,0.000684
0.42522,0.000684
0.42522,0.000733
0.430107,0.000733
0.42522,0.000831
0.430107,0.000831
0.430107,0.00088
0.434995,0.00088
0.434995,0.000929
0.439883,0.000929
0.439882,0.000978
0.439883,0.001026
0.444771,0.001026
0.44477,0.001075
0.449658,0.001075
0.449658,0.001124
0.449658,0.001173
0.449657,0.001222
0.454545,0.001222
0.454546,0.001271
0.454545,0.00132
0.454546,0.001369
0.459433,0.001369
0.459433,0.001417
0.459433,0.001466
0.459433,0.001515
0.459433,0.001564
0.46432,0.001564
0.464321,0.001613
0.46432,0.001662
0.464321,0.001711
0.469209,0.001711
0.469208,0.00176
0.469208,0.001808
0.469208,0.001857
0.469208,0.001906
0.474096,0.001906
0.474096,0.001955
0.474096,0.002004
0.474095,0.002053
0.474096,0.002102
0.478984,0.002102
0.478983,0.002151
0.478984,0.002199
0.478983,0.002248
0.478983,0.002297
0.478983,0.002346
0.483871,0.002346
0.478984,0.002444
0.483871,0.002444
0.483871,0.002493
0.483871,0.002542
0.483871,0.00259
0.483871,0.002639
0.488758,0.002639
0.488759,0.002688
0.488758,0.002737
0.488759,0.002786
0.493646,0.002835
0.488758,0.002884
0.493646,0.002884
0.493646,0.002933
0.493646,0.002981
0.493646,0.00303
0.498534,0.003079
0.498534,0.003079
0.493646,0.003177
0.498534,0.003177
0.498533,0.003226
0.498534,0.003275
0.498533,0.003324
0.503422,0.003372
0.498534,0.003421
0.498533,0.00347
0.503421,0.00347
0.503421,0.003519
0.503421,0.003568
0.503422,0.003617
0.503421,0.003666
0.503421,0.003715
0.508309,0.003763
0.503421,0.003812
0.508309,0.003861
0.508309,0.00391
0.508309,0.00391
0.508309,0.003959
0.508309,0.004008
0.508308,0.004057
0.508309,0.004106
0.508309,0.004154
0.508309,0.004203
0.513197,0.004203
0.513196,0.004252
0.513196,0.004301
0.513197,0.00435
0.513196,0.004399
0.513197,0.004448
0.513196,0.004497
0.513197,0.004545
0.513197,0.004594
0.518084,0.004594
0.513197,0.004692
0.518084,0.004692
0.518084,0.004741
0.522972,0.00479
0.518084,0.004839
0.518084,0.004888
0.518084,0.004936
0.518084,0.004985
0.518084,0.005034
0.518084,0.005083
0.522972,0.005132
0.518084,0.005132
0.518084,0.00523
0.522971,0.00523
0.518084,0.005327
0.522971,0.005327
0.518084,0.005425
0.522972,0.005425
0.522971,0.005474
0.522972,0.005523
0.522971,0.005572
0.522972,0.005621
0.52786,0.005621
0.522972,0.005718
0.522972,0.005767
0.527859,0.005767
0.522972,0.005865
0.527859,0.005865
0.522972,0.005963
0.52786,0.005963
0.527859,0.006012
0.527859,0.006061
0.527859,0.006109
0.527859,0.006158
0.52786,0.006207
0.527859,0.006256
0.52786,0.006305
0.527859,0.006354
0.532747,0.006354
0.527859,0.006452
0.532747,0.006452
0.532747,0.0065
